State,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible
New Jersey,0.588,0.569,0.501,"3,293,378","3,187,226","5,601,788","6,356,954",0.11,"29,784","130,610","11,709","106,798",
New Mexico,0.499,0.485,0.454,"615,607","598,605","1,234,088","1,318,129",0.064,"5,342","10,461","1,670","12,243",
New York,0.562,0.551,0.475,"6,960,215","6,821,999","12,380,208","14,344,348",0.127,"70,198",0,"57,858","128,056",
North Carolina,0.525,0.507,0.475,"3,015,964","2,911,262","5,744,241","6,143,214",0.046,"31,532","105,949","3,352","87,859",
North Dakota,0.611,0.603,0.597,"292,249","288,256","477,968","482,078",0.012,"1,076",0,0,"1,076",
Ohio,0.578,0.567,0.554,"4,795,989","4,705,457","8,295,592","8,487,355",0.018,"45,833",0,0,"45,833",
Oklahoma,,0.499,0.48,,"1,234,229","2,475,220","2,568,304",0.029,"23,181","30,969","1,825","40,491",
Oregon,0.659,0.649,0.591,"1,559,215","1,533,968","2,364,402","2,595,354",0.064,"10,580",0,0,"10,580",
Pennsylvania,,0.541,0.523,,"4,912,185","9,086,897","9,375,146",0.024,"36,847",0,0,"36,847",
Rhode Island,0.547,0.542,0.507,"412,074","408,783","753,877","804,417",0.069,"3,286","20,922",331,"14,078",
South Carolina,0.487,0.47,0.457,"1,433,533","1,382,717","2,944,326","3,025,380",0.022,"21,778","44,632","4,378","48,472",
South Dakota,0.587,0.577,0.569,"322,159","316,269","548,498","554,875",0.012,"2,616",0,0,"2,616",
Tennessee,0.505,0.499,0.481,"2,100,241","2,076,181","4,162,996","4,316,391",0.022,"22,166","40,682","8,093","50,600",
Texas,0.492,0.492,0.424,"6,407,637","6,407,037","13,033,081","15,138,468",0.114,"166,719","441,848","111,719","499,362",
Utah,0.548,0.538,0.503,"784,582","770,754","1,431,668","1,534,950",0.061,"5,632",0,0,"5,632",
Vermont,0.647,0.641,0.631,"297,146","294,308","459,174","463,503",0.02,0,0,0,0,
Virginia,0.55,0.54,0.509,"2,789,808","2,739,447","5,069,265","5,389,008",0.056,"30,168","33,955","5,148","52,294",
Washington,0.614,0.607,0.562,"2,517,028","2,487,433","4,098,044","4,419,907",0.069,"14,915","154,466",160,"92,308",
West Virginia,,0.466,0.461,,"648,124","1,390,365","1,405,021",0.006,"3,856","6,216","1,112","8,076",
Wisconsin,,0.676,0.645,,"2,598,607","3,842,044","4,016,401",0.024,"20,612","53,242","9,923","57,156",
Wyoming,0.614,0.592,0.582,"221,685","213,726","361,078","366,639",0.015,"1,680","4,115",514,"4,252",
