actual_result_2012,af_am_r_share,af_am_turnout_2012,af_am_vep_2012,af_am_vep_2016,af_am_vep_total_2016,az_plus_other_r_share,az_plus_other_turnout_2012,az_plus_other_vep_2012,az_plus_other_vep_2016,az_plus_other_vep_total_2016,calculated_result_2012,calculated_result_2016,code,electoral_votes,error_2012,hisp_r_share,hisp_turnout_2012,hisp_vep_2012,hisp_vep_2016,hisp_vep_total_2016,overall_percent_af_am_2016,overall_percent_az_plus_other_2016,overall_percent_hisp_2016,overall_percent_white_2016,projected_2016_population,state,state_short,white_r_share,white_turnout_2012,white_vep_2012,white_vep_2016,white_vep_total_2016
0.592184991,0.060606061,0.580069938,0.01,0.0060779,3892,0.299414246,0.451165507,0.09,0.103241,66108,0.579585827,0.577535958,2,3,-0.012599165,0.275510204,0.870104907,0.02,0.0208456,13348,0.0001,0.0045,0.0005,0.0036,640328,South Dakota,SD,0.618135914,0.573552298,0.89,0.8698355,556980
0.603510715,0.08020202,0.383731615,0.16,0.1628484,799806,0.31315995,0.767463229,0.02,0.0255625,125547,0.593331054,0.584802671,2,11,-0.010179661,0.275510204,0.767463229,0.02,0.0274717,134923,0.0286,0.0085,0.0048,0.0246,4911355,Tennessee,TN,0.690300863,0.524433207,0.8,0.7841174,3851079
0.580078972,0.04020202,0.529723595,0.12,0.1231084,2127150,0.320032802,0.488975627,0.04,0.0474462,819808,0.564800086,0.551906974,2,38,-0.015278886,0.316326531,0.342282939,0.3,0.3157341,5455468,0.0759,0.0555,0.1949,0.0568,17278678,Texas,TX,0.778190064,0.552361356,0.54,0.5137113,8876252
0.746261889,0.060606061,0.541418165,0.01,0.0085642,17066,0.309723524,0.541418165,0.04,0.0459813,91627,0.670916028,0.663527948,2,6,-0.075345861,0.275510204,0.406063624,0.08,0.0965963,192487,0.0006,0.0062,0.0069,0.0108,1992693,Utah,UT,0.721228698,0.547641363,0.87,0.8488582,1691514
0.317527412,0.060606061,0.591738201,0.01,0.0067566,3399,0.351430976,0.887607301,0.02,0.0263987,13282,0.330570759,0.331393885,1,3,0.013043347,0.275510204,0.591738201,0.01,0.0141764,7132,0.0001,0.0009,0.0003,0.0031,503116,Vermont,VT,0.333333333,0.585574261,0.96,0.9526683,479303
0.480326233,0.060606061,0.650377945,0.2,0.196948,1207584,0.354251701,0.54198162,0.06,0.0677816,415602,0.482558392,0.479859311,1,13,0.002232159,0.340206186,0.650377945,0.05,0.0537692,329685,0.0431,0.0281,0.0118,0.0267,6131489,Virginia,VA,0.62244898,0.650377945,0.7,0.6815012,4178617
0.423717017,0.060606061,0.631813943,0.03,0.0305637,154586,0.323174931,0.694995337,0.1,0.1157816,585602,0.418049758,0.413795113,1,12,-0.00566726,0.275510204,0.902591347,0.07,0.0768852,388871,0.0055,0.0397,0.0139,0.0251,5057817,Washington,WA,0.464646465,0.600223246,0.8,0.7767695,3928758
0.636742976,0.060606061,0.226642102,0.04,0.0369495,53843,0.320032802,0.453284203,0.02,0.0196712,28665,0.635281676,0.635582428,4,5,-0.0014613,0.275510204,0.906568407,0.01,0.0106858,15571,0.0019,0.0019,0.0006,0.0087,1457212,West Virginia,WV,0.66244898,0.443639859,0.94,0.9326935,1359132
0.464836176,0.06,0.863613936,0.05,0.0555251,240389,0.351430976,0.71967828,0.03,0.0354293,153387,0.474703775,0.470290285,1,10,0.009867599,0.319587629,0.71967828,0.04,0.0426909,184825,0.0086,0.0104,0.0066,0.024,4329374,Wisconsin,WI,0.515151515,0.703321956,0.88,0.8663547,3750774
0.71160634,0.060606061,0,0.01,0.0076353,3412,0.31315995,0.423866328,0.04,0.0458951,20512,0.711469078,0.703976766,4,3,-0.000137262,0.275510204,0.565155104,0.06,0.0713559,31891,0.0001,0.0014,0.0011,0.0025,446928,Wyoming,WY,0.754285714,0.565155104,0.89,0.8751137,391113
